Name,Rank,Primary School,Secondary School,Health,Balance Block,Death Block,Fire Block,Ice Block,Life Block,Myth Block,Shadow Block,Storm Block
20Q,15,Shadow,,150,0,0,0,0,0,0,0,0
24602,13,Life,,3730,18,18,18,18,18,18,18,18
AZ-Polymorph-Mob-Jaguar,80,Life,,3500,0,0,0,0,0,0,0,0
AZ-Polymorph-Mob-Pteranadon,80,Storm,,2500,0,0,0,0,0,0,0,0
AZ-Polymorph-Mob-Thunderhorn,80,Ice,,4000,0,0,0,97,0,0,0,0
Aberrant Paradox,19,Shadow,,11550,208,208,208,208,208,208,208,208
Aberration,17,Fire,,3740,104,104,104,104,104,104,104,104
Aberration,17,Ice,,4675,166,166,166,166,166,166,166,166
Aberration,17,Storm,,3360,97,97,97,97,97,97,97,97
Aberration,17,Myth,,3780,112,112,112,112,112,112,112,112
Aberration,17,Life,,4255,166,166,166,166,166,166,166,166
Aberration,17,Death,,4015,125,125,125,125,125,125,125,125
Aberration,17,Balance,,4015,125,125,125,125,125,125,125,125
Aberration,17,Shadow,,4015,125,125,125,125,125,125,125,125
Aberration,18,Balance,,4620,166,166,166,166,166,166,166,166
Aberration,18,Death,,4620,166,166,166,166,166,166,166,166
Aberration,18,Fire,,4300,125,125,125,125,125,125,125,125
Aberration,18,Ice,,5375,208,208,208,208,208,208,208,208
Aberration,18,Life,,4895,208,208,208,208,208,208,208,208
Aberration,18,Myth,,4345,133,133,133,133,133,133,133,133
Aberration,18,Shadow,,4620,166,166,166,166,166,166,166,166
Aberration,18,Storm,,3865,117,117,117,117,117,117,117,117
Abominable Snowbeast,4,Ice,,950,237,237,237,237,237,237,237,237
Abominable Snowbeast,18,Ice,,13900,237,237,237,237,237,237,237,237
Acampi Reedfist,13,Fire,,14840,69,69,69,69,69,69,69,69
Acastus Hexfin,10,Ice,,5570,18,18,18,18,18,18,18,18
Achaelos,10,Storm,,3310,18,18,18,18,18,18,18,18
Achey,16,Fire,,6800,394,394,394,394,394,394,394,394
Achmad Peece,15,Storm,,6775,57,57,57,57,57,57,57,57
Acolyte Azrael,15,Death,,4320,97,97,97,97,97,97,97,97
Acolyte Damian,15,Life,,4290,96,96,96,96,96,96,96,96
Acolyte J'Son,15,Ice,,2880,97,97,97,97,97,97,97,97
Acolyte J'on,15,Life,,5865,118,118,118,118,118,118,118,118
Acolyte Steff,15,Storm,,2630,57,57,57,57,57,57,57,57
Acrid Bile,17,Fire,,3915,119,119,119,119,119,119,119,119
Actias NightOrb,13,Storm,,15600,38,38,38,38,38,38,38,38
Ada Razorwhip,11,Ice,,6335,38,38,38,38,38,38,38,38
Adalard,18,Myth,,4225,130,130,130,130,130,130,130,130
Addere Timeo,2,Death,,235,0,0,0,0,0,0,0,0
Adele Dazeem,14,Ice,,3720,18,18,18,18,18,18,18,18
Adira Willowblade,6,Life,,1600,0,0,0,0,0,0,0,0
Admiral Bontau,16,Death,,9800,120,120,120,120,120,120,120,120
Admiral Dynt,17,Shadow,Fire,10560,198,198,198,198,198,198,198,198
Adrok,16,Storm,,17710,90,90,90,90,90,90,90,90
Advisor Francy Fries,15,Myth,,8400,97,97,97,97,97,97,97,97
Aegaeon SquallEye,4,Storm,,1550,0,0,0,0,0,0,0,0
Aejej Stonetusk,9,Balance,,2500,18,18,18,18,18,18,18,18
Aengus Sellsword,15,Fire,,5400,58,58,58,58,58,58,58,58
Aero Flynn,6,Myth,,5050,147,147,147,147,147,147,147,147
Aerobot,16,Fire,,3095,99,99,99,99,99,99,99,99
Aeropolis Backup,15,Fire,,800,0,0,0,0,0,0,0,0
Aeropolis Hunter,15,Fire,,800,0,0,0,0,0,0,0,0
Aeropolis Scrapper,15,Fire,,800,0,0,0,0,0,0,0,0
Aethyr Elemental,17,Ice,,4720,198,198,198,198,198,198,198,198
Aethyr Elemental,18,Shadow,Ice,32000,237,237,237,237,237,237,237,237
Aethyr Elemental,18,Shadow,Ice,16000,237,237,237,237,237,237,237,237
Aethyr Elemental,18,Shadow,Ice,8000,237,237,237,237,237,237,237,237
Aethyr Titan,999,Shadow,,500000,0,0,0,0,0,0,0,0
Afamasaga,11,Myth,,4800,38,38,38,38,38,38,38,38
Agnetta Broadblade,10,Life,,5325,18,18,18,18,18,18,18,18
Agony Wraith,14,Death,,325,0,0,0,0,0,0,0,0
Agony Wraith,5,Death,,1280,0,0,0,0,0,0,0,0
Ah Puch Dartwing,11,Myth,,2700,57,57,57,57,57,57,57,57
Ahnic Strider,3,Death,,310,0,0,0,0,0,0,0,0
Ahnsar,14,Myth,,4800,66,66,66,66,66,66,66,66
Ahuizotl Drowned Dog,13,Storm,,19080,38,38,38,38,38,38,38,38
Air Elemental,2,Life,,640,0,0,0,0,0,0,0,0
Air Elemental,3,Life,,810,0,0,0,0,0,0,0,0
Air Elemental,5,Life,,790,0,0,0,0,0,0,0,0
Air Elemental,11,Life,,2825,18,18,18,18,18,18,18,18
Air Elemental,12,Life,,3330,18,18,18,18,18,18,18,18
Airfred,16,Life,,3800,198,198,198,198,198,198,198,198
Aiuchi,6,Fire,,1280,0,0,0,0,0,0,0,0
Aka Karanahn,13,Storm,,3040,46,46,46,46,46,46,46,46
Aka Karanahn,15,Storm,,4150,111,111,111,111,111,111,111,111
Aka Karanahn,6,Storm,,670,0,0,0,0,0,0,0,0
Aka Karanahn,8,Storm,,910,0,0,0,0,0,0,0,0
Aka Karanahn,10,Storm,,1955,20,20,20,20,20,20,20,20
Akbari,15,Myth,,11760,77,77,77,77,77,77,77,77
Akheilos the Contriver,11,Myth,,10560,38,38,38,38,38,38,38,38
Akhtang WormCrawl,14,Fire,,15600,77,77,77,77,77,77,77,77
Akori Nirini,3,Death,,535,0,0,0,0,0,0,0,0
Aksil Blacktrunk,11,Myth,,5910,38,38,38,38,38,38,38,38
Akuji,6,Death,,3200,0,0,0,0,0,0,0,0
Alagorn Lightningdart,1,Storm,,325,0,0,0,0,0,0,0,0
Alagorn Lightningdart,2,Storm,,325,0,0,0,0,0,0,0,0
Alagorn Lightningdart,3,Storm,,325,0,0,0,0,0,0,0,0
Alagorn Lightningdart,4,Storm,,325,0,0,0,0,0,0,0,0
Alagorn Lightningdart,5,Storm,,325,0,0,0,0,0,0,0,0
Albino Lasher,14,Myth,,2585,18,18,18,18,18,18,18,18
Alchemist Kepi,4,Life,,680,0,0,0,0,0,0,0,0
Aleksi Flowers,11,Balance,,6335,38,38,38,38,38,38,38,38
Algernon GrimJowls,5,Balance,,1430,198,198,198,198,198,198,198,198
Algid Wyrm,15,Ice,,14120,57,57,57,57,57,57,57,57
Alhaya Shab,3,Life,,1550,0,0,0,0,0,0,0,0
Alhazred,7,Balance,,4600,198,198,198,198,198,198,198,198
Ali Baboon,16,Fire,,13440,77,77,77,77,77,77,77,77
Ali Cassim,15,Life,,7560,116,116,116,116,116,116,116,116
Ali LeftJab,13,Fire,,500,18,18,18,18,18,18,18,18
Alicane Swiftarrow,3,Fire,,480,0,0,0,0,0,0,0,0
Alorna,15,Myth,,10240,57,57,57,57,57,57,57,57
Alpheus,15,Balance,,4450,97,97,97,97,97,97,97,97
Alyse Dawnstar,5,Myth,,1200,0,0,0,0,0,0,0,0
Amber Knight,11,Balance,,2570,0,0,0,0,0,0,0,0
Amedras Lightstep,11,Balance,,6335,38,38,38,38,38,38,38,38
Ammit the Devourer,12,Death,,8080,57,57,57,57,57,57,57,57
Amphibaton,10,Ice,,5490,18,18,18,18,18,18,18,18
Amra Blackmane,11,Fire,,5070,38,38,38,38,38,38,38,38
Anacaona Black Snake,12,Death,,12560,57,57,57,57,57,57,57,57
Ancient Crystalweaver,8,Ice,,845,0,0,0,0,0,0,0,0
Ancient Qhat Warrior,15,Ice,,4240,97,97,97,97,97,97,97,97
