"Talent","Formula"
"Extra Mana","0.08 * (Intellect + Will + 0.5*Power)"
"Mana Boost","0.12 * (Intellect + Will + 0.5*Power)"
"Mana Gift","0.16 * (Intellect + Will + 0.5*Power)"
"Mana Bounty","0.2 * (Intellect + Will + 0.5*Power)"
"Add Health","0.12 * (Agility + Will + 0.5*Power)"
"Health Boost","0.16 * (Agility + Will + 0.5*Power)"
"Health Gift","0.2 * (Agility + Will + 0.5*Power)"
"Health Bounty","0.24 * (Agility + Will + 0.5*Power)"
"Pip o'Plenty","0.00008 * (Strength + Intellect + 0.5*Power)"
"Storm-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Storm-Shot","0.0001 * (Intellect + Agility + 0.5*Power)"
"Storm-Sniper","0.00015 * (Intellect + Agility + 0.5*Power)"
"Fire-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Fire-Shot","0.0001 * (Intellect + Agility + 0.5*Power)"
"Fire-Sniper","0.00015 * (Intellect + Agility + 0.5*Power)"
"Ice-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Ice-Shot","0.0001 * (Intellect + Agility + 0.5*Power)"
"Ice-Sniper","0.00015 * (Intellect + Agility + 0.5*Power)"
"Life-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Life-Shot","0.0001 * (Intellect + Agility + 0.5*Power)"
"Life-Sniper","0.00015 * (Intellect + Agility + 0.5*Power)"
"Death-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Death-Shot","0.0001 * (Intellect + Agility + 0.5*Power)"
"Death-Sniper","0.00015 * (Intellect + Agility + 0.5*Power)"
"Balance-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Balance-It","0.0001 * (Intellect + Agility + 0.5*Power)"
"Balance-Sniper","0.00015 * (Intellect + Agility + 0.5*Power)"
"Myth-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Myth-Shot","0.0001 * (Intellect + Agility + 0.5*Power)"
"Myth-Sniper","0.00015 * (Intellect + Agility + 0.5*Power)"
"Sharp-Eye","0.00005 * (Intellect + Agility + 0.5*Power)"
"Sharp-Shot","0.0001 * (Intellect + Agility + 0.5*Power)"
"Storm-Boon","0.00005 * (Strength + Will + 0.5*Power)"
"Storm-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Storm-Dealer","0.00015 * (Strength + Will + 0.5*Power)"
"Fire-Boon","0.00005 * (Strength + Will + 0.5*Power)"
"Fire-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Fire-Dealer","0.00015 * (Strength + Will + 0.5*Power)"
"Ice-Boon","0.00005 * (Strength + Will + 0.5*Power)"
"Ice-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Ice-Dealer","0.00015 * (Strength + Will + 0.5*Power)"
"Life-Boon","0.00005 * (Strength + Will + 0.5*Power)"
"Life-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Life-Bringer","0.00015 * (Strength + Will + 0.5*Power)"
"Death-Boon","0.00005 * (Strength + Will + 0.5*Power)"
"Death-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Death-Dealer","0.00015 * (Strength + Will + 0.5*Power)"
"Balance-Boon","0.00005 * (Strength + Will + 0.5*Power)"
"Balance-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Balance-Dealer","0.00015 * (Strength + Will + 0.5*Power)"
"Myth-Boon","0.00005 * (Strength + Will + 0.5*Power)"
"Myth-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Myth-Dealer","0.00015 * (Strength + Will + 0.5*Power)"
"Pain-Bringer","0.00005 * (Strength + Will + 0.5*Power)"
"Pain-Giver","0.0001 * (Strength + Will + 0.5*Power)"
"Storm-Away","0.00008 * (Strength + Agility + 0.5*Power)"
"Storm-Proof","0.00016 * (Strength + Agility + 0.5*Power)"
"Storm-Ward","0.00024 * (Strength + Agility + 0.5*Power)"
"Fire-Away","0.00008 * (Strength + Agility + 0.5*Power)"
"Fire-Proof","0.00016 * (Strength + Agility + 0.5*Power)"
"Fire-Ward","0.00024 * (Strength + Agility + 0.5*Power)"
"Ice-Away","0.00008 * (Strength + Agility + 0.5*Power)"
"Ice-Proof","0.00016 * (Strength + Agility + 0.5*Power)"
"Ice-Ward","0.00024 * (Strength + Agility + 0.5*Power)"
"Life-Away","0.00008 * (Strength + Agility + 0.5*Power)"
"Life-Proof","0.00016 * (Strength + Agility + 0.5*Power)"
"Life-Ward","0.00024 * (Strength + Agility + 0.5*Power)"
"Death-Away","0.00008 * (Strength + Agility + 0.5*Power)"
"Death-Proof","0.00016 * (Strength + Agility + 0.5*Power)"
"Death-Ward","0.00024 * (Strength + Agility + 0.5*Power)"
"Balance-Off","0.00008 * (Strength + Agility + 0.5*Power)"
"Unbalancer","0.00016 * (Strength + Agility + 0.5*Power)"
"Balance-Ward","0.00024 * (Strength + Agility + 0.5*Power)"
"Myth-Away","0.00008 * (Strength + Agility + 0.5*Power)"
"Myth-Proof","0.00016 * (Strength + Agility + 0.5*Power)"
"Myth-Ward","0.00024 * (Strength + Agility + 0.5*Power)"
"Spell-Defying","0.00008 * (Strength + Agility + 0.5*Power)"
"Spell-Proof","0.00016 * (Strength + Agility + 0.5*Power)"
"Armor Piercer","0.00003 * (Strength + Agility + 0.5*Power)"
"Armor Breaker","0.00005 * (Strength + Agility + 0.5*Power)"
"Critical Hitter","0.036 * (Agility + Will + 0.5*Power)"
"Critical Striker","0.048 * (Agility + Will + 0.5*Power)"
"Blocker","0.036 * (Intellect + Will + 0.5*Power)"
"Defender","0.048 * (Intellect + Will + 0.5*Power)"
"Healer","0.00006 * (Strength + Will + 0.5*Power)"
"Medic","0.00013 * (Strength + Will + 0.5*Power)"
"Healthy","0.00006 * (Intellect + Agility + 0.5*Power)"
"Lively","0.00013 * (Intellect + Agility + 0.5*Power)"
"Stun Resistant","0.00008 * (Strength + Intellect + 0.5*Power)"
"Stun Recalcitrant","0.00016 * (Strength + Intellect + 0.5*Power)"
"Balance Striker","0.04 * (Agility + Will + 0.5*Power)"
"Balance Assailant","0.05 * (Agility + Will + 0.5*Power)"
"Storm Striker","0.04 * (Agility + Will + 0.5*Power)"
"Storm Assailant","0.05 * (Agility + Will + 0.5*Power)"
"Fire Striker","0.04 * (Agility + Will + 0.5*Power)"
"Fire Assailant","0.05 * (Agility + Will + 0.5*Power)"
"Ice Striker","0.04 * (Agility + Will + 0.5*Power)"
"Ice Assailant","0.05 * (Agility + Will + 0.5*Power)"
"Myth Striker","0.04 * (Agility + Will + 0.5*Power)"
"Myth Assailant","0.05 * (Agility + Will + 0.5*Power)"
"Life Striker","0.04 * (Agility + Will + 0.5*Power)"
"Life Assailant","0.05 * (Agility + Will + 0.5*Power)"
"Death Striker","0.04 * (Agility + Will + 0.5*Power)"
"Death Assailant","0.05 * (Agility + Will + 0.5*Power)"
"Pip Saver","0.036 * (Agility + Will + 0.5*Power)"
